taxonomy_code,primary_code,name,workflow_type,sensitivity_class,route_mode,routing_profile_code,routing_status,submission_available,handoff_action_keys
LAW-014,LAW,Drug dealing or public drug activity,CRIME_REPORT,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
LAW-015,LAW,"Vandalism, graffiti, or damage to public property",CRIME_REPORT,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
LAW-016,LAW,"Public fighting, riot, or violent unlawful assembly",EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
LAW-017,LAW,Public intoxication or disorderly conduct,LAW_AND_ORDER,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
LAW-018,LAW,Severe public nuisance requiring police intervention,LAW_AND_ORDER,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
LAW-019,LAW,"Cybercrime, online fraud, identity theft, or digital financial fraud",CYBER_INCIDENT,PRIVATE,protected_handoff,,protected_handoff,false,law_cybercrime_1930|law_immediate_danger_112|law_cybercrime_portal|law_non_emergency_police
LAW-020,LAW,"Lost or stolen property, documents, or non-emergency police assistance",CRIME_REPORT,PRIVATE,protected_handoff,,protected_handoff,false,law_immediate_danger_112|law_non_emergency_police
EMR-001,EMR,Active fire or visible smoke,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-002,EMR,Gas leak or strong gas smell,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-003,EMR,"Explosion, blast, or suspected explosive event",EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-004,EMR,Building collapse,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-005,EMR,Immediate structural-collapse risk,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-006,EMR,Flood rescue or person trapped by water,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-007,EMR,Severe waterlogging creating immediate danger,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-008,EMR,"Landslide, slope failure, or retaining-wall collapse",EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-009,EMR,"Tree fallen on road, building, or power line",EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-010,EMR,Live high-voltage wire or major electrical danger,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-011,EMR,"Chemical, fuel, or hazardous-material spill",EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-012,EMR,Industrial accident or factory emergency,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-013,EMR,Road accident with injury or trapped person,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-014,EMR,Lift or elevator entrapment,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-015,EMR,Drowning risk or water rescue,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-016,EMR,"Person trapped in excavation, confined space, or debris",EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-017,EMR,Earthquake damage or post-earthquake hazard,DISASTER_RESPONSE,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-018,EMR,Extreme-weather emergency or urgent shelter need,DISASTER_RESPONSE,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-019,EMR,"Evacuation, temporary shelter, or rescue assistance",DISASTER_RESPONSE,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
EMR-020,EMR,Emergency relief supplies or post-disaster assistance,DISASTER_RESPONSE,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,emergency_112|emergency_bmc_1916
PTM-001,PTM,Scheduled bus route not operating,TRANSPORT_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-002,PTM,"Excessive delay, cancellation, or irregular frequency",TRANSPORT_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-003,PTM,Dangerous overcrowding in public transport,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-004,PTM,Unsafe or reckless public-transport driving,SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-005,PTM,Driver or conductor misconduct,TRANSPORT_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-006,PTM,"Incorrect fare, ticket, pass, or refund issue",TRANSPORT_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-007,PTM,"Bus stop missing, shifted, or incorrectly marked",TRANSPORT_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-008,PTM,Damaged or unhygienic bus shelter,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-009,PTM,Accessibility problem on a bus or at a stop,TRANSPORT_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-010,PTM,Metro or railway station facility issue,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-011,PTM,Metro service disruption or passenger-information failure,TRANSPORT_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-012,PTM,"Local-train station access, safety, or cleanliness issue",FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-013,PTM,Auto-rickshaw or taxi refusal,CONSUMER_REGULATORY,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-014,PTM,Taxi or auto fare overcharge,CONSUMER_REGULATORY,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-015,PTM,"Unsafe taxi, auto, or app-cab conduct",SAFETY_HAZARD,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-016,PTM,Ferry or water-transport service issue,TRANSPORT_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-017,PTM,Last-mile shuttle or shared-mobility service issue,TRANSPORT_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-018,PTM,Public bicycle-sharing service issue,TRANSPORT_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-019,PTM,Public parking facility service issue,FACILITY_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
PTM-020,PTM,Paratransit or special-mobility assistance issue,TRANSPORT_SERVICE,PUBLIC,generic_ward,general_ward_complaint,mapped,true,
SOC-001,SOC,Homeless person requesting shelter or outreach,WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,social_support_grievance
SOC-002,SOC,"Elderly person at risk, abandoned, or needing assistance",WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,social_support_grievance
SOC-003,SOC,Person with disability requiring urgent support,WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,social_support_grievance
SOC-004,SOC,Child begging or child living on the street,WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,soc_child_begging_1098|social_support_grievance
SOC-005,SOC,Suspected child labour,WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,soc_child_labour_1098|social_support_grievance
SOC-006,SOC,Domestic violence support or safe-shelter request,WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,soc_domestic_violence_181|social_support_grievance
SOC-007,SOC,"Women shelter, protection, or crisis-support request",WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,soc_women_shelter_181|social_support_grievance
SOC-008,SOC,"Missing, abandoned, or unaccompanied child",WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,soc_unaccompanied_child_1098|social_support_grievance
SOC-009,SOC,Suspected human trafficking,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,soc_trafficking_112|social_support_grievance
SOC-010,SOC,Person experiencing a mental-health crisis,WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,social_support_grievance
SOC-011,SOC,Person at immediate risk of self-harm,EMERGENCY,EMERGENCY_PRIVATE,protected_handoff,,protected_handoff,false,soc_self_harm_112|social_support_grievance
SOC-012,SOC,Substance-use treatment or rehabilitation referral,WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,social_support_grievance
SOC-013,SOC,Food insecurity or emergency community-meal request,WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,social_support_grievance
SOC-014,SOC,"Migrant worker shelter, transport, or support request",WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,social_support_grievance
SOC-015,SOC,Public-distribution or ration-service denial,ADMINISTRATIVE_GRIEVANCE,PRIVATE,protected_handoff,,protected_handoff,false,social_support_grievance
SOC-016,SOC,"Pension, scholarship, or welfare-benefit delay",ADMINISTRATIVE_GRIEVANCE,PRIVATE,protected_handoff,,protected_handoff,false,social_support_grievance
SOC-017,SOC,Unsafe or unhygienic shelter-home conditions,WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,social_support_grievance
SOC-018,SOC,"Rehabilitation support after eviction, demolition, or disaster",WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,social_support_grievance
SOC-019,SOC,"Suspected bonded labour, forced labour, or exploitation",CRIME_REPORT,PRIVATE,protected_handoff,,protected_handoff,false,soc_forced_labour_112|social_support_grievance
SOC-020,SOC,Accessibility discrimination or denial of public service,WELFARE_PROTECTION,PRIVATE,protected_handoff,,protected_handoff,false,social_support_grievance
ADM-001,ADM,Birth certificate delay or non-issuance,ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-002,ADM,Death certificate delay or non-issuance,ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-003,ADM,Marriage registration or certificate issue,ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-004,ADM,Correction in a civil or municipal record,ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-005,ADM,Property-tax assessment or mutation issue,ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-006,ADM,"Property-tax payment, receipt, rebate, or refund issue",ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-007,ADM,"Water, sewer, or municipal service-bill dispute",ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-008,ADM,Building-permission application status or delay,ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-009,ADM,"Occupancy, completion, or municipal NOC application delay",ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-010,ADM,Grievance not acknowledged or reference number not generated,ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-011,ADM,Complaint closed without action or with incorrect reason,ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-012,ADM,"RTI filing, transfer, fee, or response issue",INFORMATION_ACCESS,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-013,ADM,Public record or government-information request,INFORMATION_ACCESS,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-014,ADM,Land or revenue-record correction,ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-015,ADM,"Domicile, income, caste, or residence-certificate service issue",ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-016,ADM,Voter-service or electoral-record query,ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-017,ADM,Ration-card or household-record service issue,ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-018,ADM,"Online portal, payment, login, or application-tracking failure",INFORMATION_ACCESS,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-019,ADM,"Language, accessibility, or assisted-service problem",INFORMATION_ACCESS,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
ADM-020,ADM,"Government office delay, refusal, misconduct, or unexplained service denial",ADMINISTRATIVE_GRIEVANCE,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-001,REG,Unlicensed commercial establishment,CONSUMER_REGULATORY,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-002,REG,"Expired, missing, or misused trade licence",CONSUMER_REGULATORY,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-003,REG,Unhygienic municipal or private market premises,PUBLIC_HEALTH,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-004,REG,Unfair pricing or overcharging,CONSUMER_REGULATORY,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-005,REG,Incorrect weights or measures,CONSUMER_REGULATORY,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-006,REG,Misleading public advertisement or consumer claim,CONSUMER_REGULATORY,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-007,REG,"Illegal hoarding, banner, billboard, or outdoor advertisement",ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-008,REG,"Street-vendor licence, zone, or harassment issue",CONSUMER_REGULATORY,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-009,REG,"Market stall allocation, obstruction, or unauthorized occupation",ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-010,REG,Restaurant hygiene or municipal licensing complaint,PUBLIC_HEALTH,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-011,REG,Food adulteration or unsafe packaged food,PUBLIC_HEALTH,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-012,REG,"Meat shop, slaughterhouse, or animal-product hygiene complaint",PUBLIC_HEALTH,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-013,REG,Commercial fire-NOC or fire-safety violation,SAFETY_HAZARD,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-014,REG,Liquor-sale nuisance or suspected licensing violation,CONSUMER_REGULATORY,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-015,REG,"Sale of prohibited, counterfeit, or hazardous goods",CONSUMER_REGULATORY,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-016,REG,Pharmacy or medical-shop regulatory complaint,CONSUMER_REGULATORY,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-017,REG,Commercial material or goods blocking public space,ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-018,REG,Telecom or cable operator damaging a road or public asset,ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-019,REG,"Event, procession, public-gathering, or temporary-permit violation",ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
REG-020,REG,"Commercial noise, nuisance, or operating-hours violation",ENFORCEMENT,RESTRICTED,generic_ward,general_ward_complaint,mapped,true,
COR-001,COR,Bribe demanded for a public service or official action,ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-002,COR,Bribe demanded through an intermediary or agent,ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-003,COR,Extortion or coercive payment demanded by a public official,ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-004,COR,Payment demanded to expedite or avoid delaying an application,ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-005,COR,Kickback or commission in public procurement or a government contract,ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-006,COR,"Tender manipulation, bid rigging or collusive procurement",ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-007,COR,Procurement favouritism or undisclosed preferential treatment,ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-008,COR,Misappropriation or embezzlement of public funds,ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-009,COR,"Diversion or theft of public materials, supplies or assets",ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-010,COR,"Fraudulent billing, false invoices or inflated measurements",ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-011,COR,"Public work falsely certified, incompletely delivered or not performed",ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-012,COR,Conflict of interest or undisclosed related-party decision,ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-013,COR,"Nepotism or favouritism in public recruitment, appointment or allocation",ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-014,COR,Abuse of official position or discretion for private gain,ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-015,COR,"Corruption involving a licence, permit, certificate, NOC or approval",ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-016,COR,"Corruption involving tax, fee, fine, assessment or enforcement action",ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-017,COR,"Tampering, suppression or destruction of official records or evidence",ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-018,COR,"Welfare-benefit leakage, illegal deduction or demanded commission",ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-019,COR,"Threat, retaliation or intimidation after reporting corruption",ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
COR-020,COR,Other suspected public-sector corruption or integrity violation,ANTI_CORRUPTION,PRIVATE,protected_handoff,,protected_handoff,false,corruption_acb_1064|corruption_acb_portal
